temp,KR,number
19.7,119,110
19.9,119,110
20.0,120,110
20.2,124,110
19.8,121,110
20.3,124,110
20.1,122,110
19.4,85,111
19.3,85,111
20.0,87,111
19.9,86,111
20.8,89,111
20.9,89,111
19.2,82,111
19.1,81,111
19.6,84,111
19.5,85,111
19.8,86,111
19.7,86,111
20.4,89,111
20.5,88,111
20.6,89,111
20.7,90,111
20.1,90,111
20.3,88,111
20.2,87,111
20.9,107,112
20.4,103,112
20.5,104,112
19.6,98,112
19.5,94,112
19.7,100,112
20.8,109,112
20.2,103,112
20.3,103,112
19.1,91,112
19.3,94,112
19.4,95,112
19.2,93,112
20.1,100,112
20.0,99,112
19.8,99,112
19.9,99,112
20.6,107,112
20.7,107,112
20.0,15,113
19.9,15,113
20.5,15,113
20.6,14,113
19.8,16,113
20.9,14,113
19.2,21,113
20.1,15,113
20.8,14,113
20.7,14,113
19.6,17,113
19.7,16,113
19.3,19,113
19.5,18,113
19.4,19,113
20.2,15,113
20.4,15,113
20.3,15,113
19.1,23,113
19.5,103,117
20.7,110,117
19.3,102,117
19.4,104,117
20.9,113,117
19.6,104,117
20.8,111,117
19.1,100,117
19.2,101,117
19.9,105,117
20.0,107,117
19.7,106,117
19.8,105,117
20.3,109,117
20.4,109,117
20.1,106,117
20.2,107,117
20.6,108,117
20.5,107,117
20.8,114,120
20.9,115,120
20.7,114,120
20.6,113,120
20.4,113,120
20.5,113,120
19.7,108,120
19.4,107,120
19.5,108,120
19.3,108,120
19.2,107,120
19.1,105,120
20.3,113,120
19.6,109,120
20.1,111,120
19.8,110,120
19.9,112,120
20.0,111,120
20.2,112,120
19.2,62,121
20.9,74,121
19.7,58,121
19.8,59,121
19.9,60,121
20.0,61,121
20.1,64,121
20.2,67,121
20.3,68,121
20.8,75,121
19.4,58,121
19.6,58,121
19.5,57,121
20.7,78,121
20.6,76,121
20.5,74,121
20.4,73,121
19.1,63,121
19.3,59,121
19.4,18,124
19.7,17,124
19.5,17,124
19.6,17,124
19.2,18,124
19.3,18,124
19.1,17,124
20.6,15,124
20.5,16,124
20.4,18,124
20.3,19,124
20.2,18,124
20.1,18,124
20.0,18,124
19.9,18,124
19.8,18,124
20.8,14,124
20.7,14,124
20.9,14,124
19.1,11,125
19.3,11,125
19.2,11,125
19.4,11,125
20.3,12,125
20.2,11,125
20.1,11,125
20.0,11,125
19.9,11,125
19.8,11,125
19.7,11,125
19.6,11,125
19.5,11,125
20.7,11,125
20.4,12,125
20.5,12,125
20.6,12,125
20.9,11,125
20.8,11,125
20.7,123,128
20.0,121,128
20.8,125,128
20.6,125,128
20.5,123,128
20.4,121,128
20.3,122,128
20.2,119,128
20.1,122,128
19.1,119,128
19.2,120,128
19.4,121,128
19.3,120,128
19.5,121,128
19.9,120,128
19.8,121,128
19.7,120,128
19.6,121,128
20.9,126,128
19.5,93,137
19.4,91,137
19.7,95,137
20.1,101,137
20.6,105,137
20.8,106,137
20.7,107,137
19.6,94,137
20.3,102,137
20.2,102,137
20.5,105,137
19.3,91,137
19.8,95,137
19.9,97,137
20.0,98,137
20.4,103,137
20.9,108,137
19.1,87,137
19.2,90,137
20.8,69,140
20.3,72,140
20.4,69,140
20.5,71,140
20.6,70,140
19.2,73,140
19.5,73,140
19.8,73,140
19.7,73,140
19.6,72,140
20.7,69,140
20.9,71,140
19.3,70,140
19.9,72,140
19.1,73,140
19.4,74,140
20.2,71,140
20.1,69,140
20.0,71,140
20.0,71,142
20.7,76,142
20.2,72,142
20.8,78,142
20.3,73,142
19.4,70,142
19.7,70,142
20.9,77,142
19.1,67,142
19.6,69,142
19.9,71,142
19.2,69,142
19.5,69,142
19.8,70,142
20.4,74,142
20.5,76,142
20.6,74,142
20.1,72,142
19.3,69,142
20.5,57,143
20.6,57,143
20.4,56,143
20.1,55,143
20.2,56,143
20.0,54,143
20.9,55,143
19.8,52,143
19.6,53,143
19.3,54,143
20.8,55,143
19.7,53,143
19.9,54,143
20.3,56,143
19.5,52,143
19.4,53,143
19.1,55,143
19.2,54,143
20.7,57,143
20.5,97,144
20.3,97,144
20.2,95,144
20.0,95,144
19.9,94,144
19.8,94,144
20.1,97,144
19.5,93,144
19.6,94,144
19.4,90,144
20.4,96,144
20.9,100,144
20.6,98,144
20.7,100,144
20.8,100,144
19.7,95,144
19.1,87,144
19.2,88,144
19.3,90,144
19.3,117,148
19.5,114,148
19.6,111,148
20.2,106,148
19.8,109,148
20.8,92,148
20.9,90,148
19.4,119,148
20.5,101,148
19.2,120,148
19.1,119,148
20.7,97,148
20.3,101,148
19.9,109,148
20.0,106,148
20.1,107,148
20.6,101,148
19.7,110,148
20.4,101,148
20.6,119,149
19.9,133,149
20.0,131,149
20.9,115,149
20.8,118,149
20.2,126,149
20.5,121,149
20.4,122,149
20.3,125,149
19.5,142,149
19.2,144,149
20.1,129,149
19.8,136,149
