CV_MC,rCV_MAD_MC,avg_MC,mean_MC,median_MC,std_MC,var_MC,amplitude_MC,CV_CQ,rCV_MAD_CQ,avg_CQ,mean_CQ,median_CQ,std_CQ,var_CQ,amplitude_CQ,CV_NRMSE
0.018251813,0.026674525,3.928657915,3.928657915,3.91715782,0.07170513,0.005141626,0.221987172,0.025974992,0.029070588,103,103,102,2.675424216,7.157894737,9,0.041497803
0.053577543,0.075450054,4.243643524,4.243643524,4.218637998,0.227363995,0.051694386,0.683882847,0.026815993,0.025562069,58.42105263,58.42105263,58,1.566618533,2.454293629,6,0.494225195
0.026138134,0.024555744,3.641069351,3.641069351,3.612474883,0.09517076,0.009057474,0.272721645,0.049831654,0.047825806,31.47368421,31.47368421,31,1.568385729,2.459833795,5,0.283410301
0.01297305,0.014776638,4.80218163,4.80218163,4.80442914,0.062298943,0.003881158,0.243787487,0.075580288,0.088075248,101.5263158,101.5263158,101,7.673388197,58.88088643,26,0.492900327
0.150061901,0.030808778,4.840398242,4.840398242,4.977913988,0.726359364,0.527597925,3.476056389,0.021308483,0,23.94736842,23.94736842,24,0.51028209,0.260387812,2,0.643667966
0.111640857,0.121247669,2.595701442,2.595701442,2.659970344,0.289786333,0.083976119,0.96116463,-0.774267264,-0.7413,-1.473684211,-1.473684211,-2,1.141025442,1.301939058,4,0.254578256
0.05739403,0.058132328,3.266656096,3.266656096,3.280915389,0.187486558,0.035151209,0.668364232,-0.501858174,-0.2471,-5.421052632,-5.421052632,-6,2.720599575,7.40166205,11,0.814690047
0.11853964,0.081188076,3.874979409,3.874979409,4.027620221,0.459338663,0.210992007,1.585781477,0.710816219,0.7413,4.105263158,4.105263158,4,2.918087637,8.515235457,10,0.42862285
0.016875365,0.010798741,4.283885618,4.283885618,4.304089502,0.072292132,0.005226152,0.243112305,0.010067989,0.011582813,128.2631579,128.2631579,128,1.291352015,1.667590028,6,0.002376913
1.063601103,1.4826,0.386073623,0.386073623,0.195956887,0.410628331,0.168615626,1.217339773,0.101905401,0.107434783,67.94736842,67.94736842,69,6.924203805,47.94459834,24,0.005953659
0.089518583,0.07323299,4.871120988,4.871120988,4.640489635,0.436055848,0.190144702,1.24568642,0.161894126,0.228092308,54.10526316,54.10526316,52,8.759324276,76.72576177,26,0.241616454
0.051400537,0.036481963,5.057895675,5.057895675,5.156054877,0.259978555,0.067588849,0.838776223,0.062408075,0.054911111,79.57894737,79.57894737,81,4.966368889,24.66481994,19,0.68795771
0.042335525,0.052009001,4.828103876,4.828103876,4.79750146,0.204400313,0.041779488,0.691950123,0.036988148,0.050543182,87.36842105,87.36842105,88,3.231596091,10.4432133,12,0.572473551
0.06805715,0.085159885,4.339542265,4.339542265,4.380921398,0.295336879,0.087223872,1.126872782,1.129982081,1.4826,1.157894737,1.157894737,1,1.308400305,1.711911357,5,0.250985738
0.021737232,0.023355579,4.687643161,4.687643161,4.673119797,0.101896386,0.010382874,0.32135786,0.08559699,0.090771429,49.47368421,49.47368421,49,4.234798461,17.93351801,15,0.343822257
0.008976706,0.009571431,5.378249549,5.378249549,5.386867286,0.048278963,0.002330858,0.186975272,0.101341229,0.136555263,75.36842105,75.36842105,76,7.637928393,58.33795014,25,0.689976963
0.060097349,0.07976693,3.743048215,3.743048215,3.755092811,0.224947273,0.050601276,0.729653589,0.019016111,0.012781034,115.0526316,115.0526316,116,2.187853652,4.786703601,7,0.009879345
0.10053517,0.145839132,4.613002296,4.613002296,4.558180773,0.46376897,0.215081658,1.338342074,0.110450285,0.16944,34.73684211,34.73684211,35,3.836694099,14.72022161,11,0.067872404
0.09944782,0.060511219,3.727239314,3.727239314,3.681729743,0.370665824,0.137393153,1.564289128,0.752682278,0.7413,1.842105263,1.842105263,2,1.386519987,1.922437673,6,0.499112499
0.042461892,0.03997911,4.332290275,4.332290275,4.373683123,0.183957241,0.033840266,0.57435919,0.013318355,0.0118608,124.8421053,124.8421053,125,1.662691474,2.764542936,7,0.045906586
0.005684644,0.006985576,4.550466635,4.550466635,4.555379959,0.025867783,0.000669142,0.117856047,0.022833713,0.025562069,116.5789474,116.5789474,116,2.661930235,7.085872576,10,0.030593827
0.017669971,0.01251339,3.348554,3.348554,3.342325885,0.059168852,0.003500953,0.246104083,0.012450329,0.010666187,139.0526316,139.0526316,139,1.731250969,2.997229917,7,0.019830426
0.019052927,0.016508446,5.34227568,5.34227568,5.37759231,0.10178599,0.010360388,0.321368518,0.035983268,0.02720367,108.7894737,108.7894737,109,3.914600838,15.32409972,14,0.550434094
0.035031709,0.036351912,3.405782429,3.405782429,3.442785517,0.119310378,0.014234966,0.398366682,0.055129261,0.078861702,93.84210526,93.84210526,94,5.173445944,26.76454294,17,0.180581233
0.016581592,0.010848571,4.545725317,4.545725317,4.544508768,0.075375363,0.005681445,0.278105183,0.018505976,0.022809231,129.8947368,129.8947368,130,2.403828894,5.778393352,8,0.449513306
0.045207138,0.032181081,4.336405643,4.336405643,4.253673524,0.19603649,0.038430305,0.617448435,0.010329278,0.011493023,129.1052632,129.1052632,129,1.333564154,1.778393352,6,0.000695764
0.025677126,0.015396736,3.734095256,3.734095256,3.764010569,0.095880834,0.009193134,0.317781841,0.01420771,0.010821898,136.2105263,136.2105263,137,1.935239612,3.745152355,7,0.000900444
0.021262103,0.016721354,4.747248747,4.747248747,4.714449238,0.10093649,0.010188175,0.367935814,0.08982846,0.080140541,76.26315789,76.26315789,74,6.850602012,46.93074792,23,0.378005516
0.011265878,0.008378889,3.960312735,3.960312735,3.963418033,0.044616401,0.001990623,0.180489157,0.0281926,0.024505785,120.8421053,120.8421053,121,3.406853123,11.6066482,12,0.005416555
0.101460818,0.10554213,3.282912569,3.282912569,3.242017687,0.333086993,0.110946945,1.192118414,0.408453875,0.673909091,11.84210526,11.84210526,11,4.836953781,23.39612188,14,0.778553931
0.026342825,0.029672708,5.116729983,5.116729983,5.13865476,0.134789124,0.018168108,0.410701808,0.031044032,0.037065,40.26315789,40.26315789,40,1.249930746,1.56232687,5,0.350431836
0.079173552,0.122203254,4.964114386,4.964114386,4.975066193,0.393026569,0.154469884,1.082481121,0.019052479,0.017239535,85.94736842,85.94736842,86,1.637510441,2.681440443,7,0.021356035
0.363862146,0.11269931,0.577547173,0.577547173,0.686943896,0.210147554,0.044161994,0.791575949,-0.048910554,-0.0926625,-16.10526316,-16.10526316,-16,0.787717345,0.620498615,2,0.010728557
