temp,MC,number
19.2,4.643497083575976,9
20.9,5.125805789604078,9
19.3,4.774004445637864,9
19.1,4.584154874987905,9
19.9,0.2425320666020513,16
19.8,0.24556910829807,16
20.0,0.293017734265454,16
20.5,0.4838045964086775,16
20.9,0.493272075053519,16
19.2,0.3458771522823714,16
19.4,0.2758334985447357,16
19.1,0.2148631393498555,16
20.8,0.53847566403792,16
20.7,0.5629789750793927,16
20.6,0.5042293184284597,16
19.3,0.3582556950321053,16
20.4,0.4888478107840188,16
19.7,0.3330335529795661,16
19.5,0.3762867113330611,16
19.6,0.3179480858232382,16
20.2,0.4394387495470202,16
20.3,0.3273197754804195,16
20.1,0.4473077331202043,16
19.5,0.9340423806513414,17
19.1,0.0,17
19.4,0.942918460762255,17
19.3,0.3253614744618588,17
19.6,0.9588457079415408,17
20.0,0.9001728898631473,17
20.2,0.8791089733277694,17
20.5,0.9382524188389142,17
20.4,0.9340950686722465,17
20.3,0.8898863399672147,17
19.9,0.9364199364705283,17
19.8,0.9133300865447438,17
19.7,0.9185122472620024,17
20.9,0.9218631542528936,17
20.8,0.9378301415981132,17
20.7,0.8805238836487229,17
20.6,0.9214631290782408,17
20.1,0.9605699486710932,17
19.2,0.0,17
20.4,3.411583215692022,22
19.1,3.4712348547462253,22
19.8,3.191701357342417,22
19.7,3.3663457451765284,22
19.6,3.397552438041701,22
20.3,3.3390831592373846,22
19.4,3.3906083672567644,22
19.3,3.414050601841585,22
19.2,3.428867038197604,22
19.9,3.3105565133521244,22
20.8,3.25173122026474,22
20.7,3.3760513840779995,22
20.6,3.4345442027013777,22
20.5,3.3922347251615816,22
20.2,3.272353207739308,22
20.1,3.305420675353919,22
20.0,3.299158370570963,22
20.9,3.2288311417894846,22
19.5,3.390671341158044,22
19.2,1.378012684169757,23
20.0,1.5332568142714709,23
19.1,1.4021687136508538,23
20.4,1.1341002169721892,23
20.5,0.9326241055329854,23
20.6,0.9299545820071312,23
20.7,0.916997107008066,23
19.8,1.364267605880765,23
19.9,1.344293643759853,23
20.1,1.1066214166111723,23
19.3,1.291364566721589,23
19.6,1.4176737374618942,23
19.5,1.3553751723124123,23
19.4,1.4055862237232726,23
19.7,1.434103698792407,23
20.8,0.8829382756123637,23
