CV,rCV_MAD,avg,mean,median,std,var,amplitude,first_order_sensitivity,second_order_sensitivity,CV_MC,rCV_MAD_MC,avg_MC,std_MC,var_MC,amplitude_MC,first_order_sensitivity_MC,second_order_sensitivity_MC,CV_KR,rCV_MAD_KR,avg_KR,std_KR,var_KR,amplitude_KR,first_order_sensitivity_KR,second_order_sensitivity_KR,CV_GR,rCV_MAD_GR,avg_GR,std_GR,var_GR,amplitude_GR,first_order_sensitivity_GR,second_order_sensitivity_GR,label
0.009511053,0.005917611,0.861889555,0.861889555,0.858140556,0.008197477,6.72e-05,0.025979908,0.001374495,0.000121221,0.022277918,0.023194105,3.351188398,0.074657501,0.005573742,0.279533497,-0.006075051,0.00072583,0.062044917,0.080869091,55.15789474,3.422266991,11.71191136,11,0.61754386,0.001916556,0.0,0.0,1.0,0.0,0.0,0,0.0,-2.18e-12,1
0.003413642,0.004356853,1.014908553,1.014908553,1.014573262,0.003464534,1.2e-05,0.01082856,0.000631344,2.62e-06,0.182154172,0.121672671,1.209807887,0.220371554,0.048563622,0.650318539,-0.032748535,-0.00235969,0.114322872,0.185325,8.157894737,0.932633955,0.869806094,3,0.145614035,-0.006707946,0.374165739,0.59304,5.263157895,1.969293361,3.878116343,7,0.280701754,-0.002506266,1
0.016781551,0.015472391,0.939616557,0.939616557,0.934193761,0.015768223,0.000248637,0.051039658,0.002311386,0.00034078,0.073547021,0.08011252,1.755375167,0.129102614,0.016667485,0.50859324,-0.022022393,-0.001141674,0.191894307,0.164733333,16.94736842,3.252103517,10.57617729,10,-0.571929825,-0.027274068,0.108785659,0.0,2.052631579,0.223296878,0.049861496,1,0.00877193,-0.000368568,1
0.507863676,0.368997103,1.319001286,1.319001286,1.058349353,0.669872842,0.448729624,2.312952713,0.087804962,0.016796785,0.01995862,0.015637221,4.76403069,0.095083476,0.009040867,0.312338314,0.014867508,0.001510293,0.021981489,0.030052703,147.9473684,3.252103517,10.57617729,11,0.577192982,-0.003317116,0.12289214,0.161152174,45.10526316,5.543082335,30.72576177,17,0.745614035,-0.093395253,0
0.051890043,0.040846662,0.741131183,0.741131183,0.726965409,0.038457329,0.001478966,0.144276399,0.003790035,0.001191108,0.033864945,0.026669012,4.301729223,0.145677823,0.021222028,0.517555495,0.007407436,0.003048917,0.033778915,0.041471329,142.1052632,4.800161585,23.04155125,14,0.863157895,-0.013415893,0.164376967,0.214153333,90.84210526,14.93234976,222.9750693,47,2.719298246,0.005749668,1
0.064803882,0.044732832,0.928674414,0.928674414,0.910909661,0.060181707,0.003621838,0.227715142,-0.006034419,0.001806318,0.217514834,0.228816976,1.770830826,0.385181974,0.148365153,1.473008986,-0.068164477,0.001080579,0.090967026,0.086365049,103.0,9.36960371,87.78947368,34,-1.68245614,0.001105705,0.131125059,0.1059,42.36842105,5.555561711,30.86426593,23,0.568421053,0.153914197,0
0.218006882,0.291985955,1.182593762,1.182593762,1.1207437,0.257813579,0.066467841,0.862520689,0.013003514,0.009224362,0.047645456,0.042776962,2.25650789,0.107512347,0.011558905,0.365604481,0.001840255,0.000887546,0.207872294,0.23165625,33.10526316,6.881667002,47.35734072,26,1.114035088,0.091626124,0.0,0.0,2.0,0.0,0.0,0,0.0,-2.18e-12,0
0.757772163,0.221186147,1.37096449,1.37096449,0.95611292,1.038878726,1.079269008,4.232122611,0.123273019,0.02482763,0.006581864,0.006630648,4.434997334,0.02919055,0.000852088,0.101255592,-0.000990731,0.000103569,0.040334924,0.040619178,73.42105263,2.96143261,8.770083102,11,-0.421052632,0.051157305,0.270420468,0.29652,6.105263158,1.65098812,2.725761773,6,-0.203508772,0.015479876,0
0.004086057,0.006210274,0.876396008,0.876396008,0.876329684,0.003581004,1.28e-05,0.010241098,-0.000649346,4.85e-06,0.052506517,0.029197909,2.545030947,0.133630711,0.017857167,0.439771975,-0.019060488,0.002928091,0.026489985,0.020309589,72.94736842,1.932374711,3.734072022,7,-0.235087719,-0.038331122,0.0,0.0,2.0,0.0,0.0,0,0.0,-2.18e-12,1
0.012404472,0.013180207,0.92938353,0.92938353,0.92547843,0.011528512,0.000132907,0.035624551,0.000774227,0.000391101,0.06269682,0.062474354,2.720087763,0.170540853,0.029084183,0.484533661,-0.030087162,-0.001306844,0.094304176,0.128301923,105.1578947,9.916828641,98.3434903,33,-1.771929825,0.016364441,0.16761782,0.0,3.263157895,0.546963413,0.299168975,2,-0.047368421,0.001842842,1
