temp,CQ,number
19.4,102,117
20.9,111,117
19.6,102,117
20.8,109,117
19.1,97,117
19.2,99,117
19.9,103,117
20.0,104,117
19.7,104,117
19.8,102,117
20.3,107,117
20.4,107,117
20.1,104,117
20.2,105,117
20.6,106,117
20.5,105,117
20.8,72,120
20.9,72,120
20.7,75,120
20.6,76,120
20.4,74,120
20.5,75,120
19.7,70,120
19.4,70,120
19.5,72,120
19.3,73,120
19.2,72,120
19.1,70,120
20.3,75,120
19.6,73,120
20.1,73,120
19.8,73,120
19.9,77,120
20.0,76,120
20.2,73,120
19.2,26,121
20.9,27,121
19.7,24,121
19.8,22,121
19.9,22,121
20.0,23,121
20.1,23,121
20.2,24,121
20.3,24,121
20.8,26,121
19.4,24,121
19.6,23,121
19.5,22,121
20.7,27,121
20.6,27,121
20.5,26,121
20.4,27,121
19.1,26,121
19.3,24,121
19.4,-6,124
19.7,-4,124
19.5,-7,124
19.6,-6,124
19.2,-6,124
19.3,-7,124
19.1,-8,124
20.6,-3,124
20.5,-2,124
20.4,-1,124
20.3,0,124
20.2,-2,124
20.1,-3,124
20.0,-2,124
19.9,-2,124
19.8,-3,124
20.8,-2,124
20.7,-3,124
20.9,-2,124
19.1,-9,125
19.3,-10,125
19.2,-9,125
19.4,-9,125
20.3,-9,125
20.2,-10,125
20.1,-10,125
20.0,-11,125
19.9,-10,125
19.8,-9,125
19.7,-9,125
19.6,-9,125
19.5,-10,125
20.7,-10,125
20.4,-9,125
20.5,-9,125
20.6,-9,125
20.9,-11,125
20.8,-11,125
20.7,120,128
20.0,118,128
20.8,122,128
20.6,121,128
20.5,118,128
20.4,118,128
20.3,119,128
20.2,115,128
20.1,118,128
19.1,115,128
19.2,116,128
19.4,117,128
19.3,117,128
19.5,117,128
19.9,116,128
19.8,117,128
19.7,116,128
19.6,116,128
20.9,122,128
19.5,60,137
19.4,58,137
19.7,57,137
20.1,58,137
20.6,59,137
20.8,57,137
20.7,59,137
19.6,57,137
20.3,60,137
20.2,60,137
20.5,62,137
19.3,60,137
19.8,56,137
19.9,56,137
20.0,55,137
20.4,59,137
20.9,56,137
19.1,59,137
19.2,60,137
20.8,66,140
20.3,70,140
20.4,67,140
20.5,69,140
20.6,68,140
19.2,71,140
19.5,71,140
19.8,71,140
19.7,71,140
19.6,70,140
20.7,67,140
20.9,68,140
19.3,68,140
19.9,70,140
19.1,71,140
19.4,72,140
20.2,69,140
20.1,67,140
20.0,69,140
20.0,42,142
20.7,43,142
20.2,44,142
20.8,44,142
20.3,42,142
19.4,45,142
19.7,42,142
20.9,44,142
19.1,42,142
19.6,42,142
19.9,41,142
19.2,44,142
19.5,42,142
19.8,41,142
20.4,43,142
20.5,44,142
20.6,41,142
20.1,42,142
19.3,44,142
20.5,25,143
20.6,27,143
20.4,24,143
20.1,26,143
20.2,25,143
20.0,26,143
20.9,24,143
19.8,26,143
19.6,27,143
19.3,29,143
20.8,24,143
19.7,27,143
19.9,27,143
20.3,23,143
19.5,26,143
19.4,28,143
19.1,29,143
19.2,29,143
20.7,27,143
20.5,95,144
20.3,95,144
20.2,93,144
20.0,93,144
19.9,92,144
19.8,92,144
20.1,95,144
19.5,91,144
19.6,92,144
19.4,88,144
20.4,94,144
20.9,98,144
20.6,96,144
20.7,98,144
20.8,98,144
19.7,93,144
19.1,85,144
19.2,86,144
19.3,88,144
19.3,113,148
19.5,110,148
19.6,108,148
20.2,103,148
19.8,106,148
20.8,89,148
20.9,88,148
19.4,115,148
20.5,98,148
19.2,116,148
19.1,115,148
20.7,94,148
20.3,98,148
19.9,106,148
20.0,103,148
20.1,104,148
20.6,98,148
19.7,107,148
20.4,99,148
20.6,16,149
19.9,22,149
20.0,22,149
20.9,14,149
20.8,17,149
20.2,20,149
20.5,16,149
20.4,17,149
20.3,18,149
19.5,21,149
19.2,23,149
20.1,21,149
19.8,23,149
19.7,21,149
20.7,16,149
19.6,23,149
19.1,25,149
19.3,23,149
19.4,23,149
20.7,93,150
20.5,92,150
20.6,91,150
20.1,78,150
20.3,78,150
20.2,77,150
20.8,95,150
19.2,98,150
20.9,92,150
19.5,90,150
20.0,80,150
19.4,90,150
19.3,91,150
19.6,93,150
19.9,89,150
19.8,91,150
19.7,94,150
19.1,97,150
20.4,84,150
20.1,31,152
19.9,32,152
19.8,30,152
19.1,32,152
19.2,30,152
19.6,31,152
20.0,32,152
20.4,33,152
20.3,31,152
20.2,32,152
20.5,31,152
20.8,31,152
20.7,30,152
20.6,30,152
20.9,31,152
19.3,30,152
19.7,29,152
19.5,30,152
19.4,31,152
19.1,138,153
19.2,139,153
19.3,139,153
19.4,141,153
19.5,141,153
20.3,136,153
20.5,132,153
19.8,142,153
20.6,135,153
20.7,130,153
20.8,132,153
20.4,136,153
20.9,135,153
20.0,143,153
20.1,139,153
19.6,140,153
19.9,141,153
19.7,141,153
20.2,137,153
20.1,16,154
20.2,17,154
20.9,27,154
20.8,28,154
20.7,26,154
20.6,23,154
20.5,23,154
20.4,18,154
20.3,18,154
19.7,15,154
20.0,18,154
19.8,16,154
19.9,18,154
19.3,13,154
19.4,12,154
19.5,12,154
19.6,12,154
19.2,10,154
19.1,10,154
20.4,27,156
20.6,23,156
20.1,26,156
20.0,25,156
20.3,27,156
20.2,26,156
19.9,21,156
19.8,23,156
19.7,24,156
19.6,28,156
19.5,28,156
19.4,29,156
19.3,29,156
19.2,27,156
19.1,25,156
20.7,26,156
20.9,31,156
20.8,28,156
20.5,26,156
20.0,120,157
19.8,124,157
19.9,114,157
19.6,118,157
20.3,127,157
20.2,121,157
19.7,119,157
19.3,112,157
19.4,116,157
19.5,112,157
19.1,117,157
19.2,115,157
20.9,126,157
20.7,119,157
20.8,130,157
20.5,117,157
20.6,123,157
20.4,122,157
20.1,119,157
19.8,62,159
19.7,61,159
19.9,63,159
19.5,60,159
19.1,55,159
19.2,55,159
19.3,57,159
19.4,58,159
19.6,60,159
20.8,74,159
20.7,72,159
20.6,69,159
20.9,72,159
20.3,67,159
20.4,68,159
20.1,66,159
20.2,66,159
20.5,70,159
20.0,64,159
19.7,73,160
19.4,72,160
19.3,69,160
19.2,69,160
19.1,69,160
19.6,72,160
20.7,81,160
20.8,79,160
20.9,82,160
20.4,77,160
20.5,78,160
20.3,75,160
20.6,78,160
19.9,76,160
20.0,75,160
20.1,75,160
20.2,78,160
19.8,74,160
19.5,69,160
19.3,119,164
19.4,123,164
19.1,117,164
20.9,116,164
20.8,114,164
19.2,120,164
20.3,119,164
20.6,114,164
20.5,118,164
20.4,119,164
20.1,121,164
20.2,120,164
20.0,122,164
20.7,116,164
19.9,116,164
19.7,118,164
19.8,118,164
19.5,119,164
19.6,120,164
20.9,-9,165
20.8,-10,165
20.0,-3,165
20.5,-6,165
20.6,-8,165
20.7,-8,165
19.2,-1,165
20.1,-4,165
20.2,-5,165
20.3,-5,165
20.4,-6,165
19.7,-3,165
19.8,-2,165
19.9,-3,165
19.1,3,165
19.3,0,165
19.4,0,165
19.5,-2,165
19.6,-3,165
20.2,60,166
20.3,59,166
20.4,56,166
19.7,67,166
19.8,62,166
19.9,62,166
20.0,66,166
20.1,62,166
19.4,69,166
19.5,66,166
19.6,67,166
19.1,68,166
19.3,67,166
19.2,68,166
20.7,55,166
20.8,53,166
20.6,56,166
20.5,58,166
20.9,50,166
20.5,3,169
20.3,3,169
20.2,5,169
19.2,12,169
19.1,12,169
19.9,8,169
20.0,6,169
20.1,6,169
20.4,4,169
20.6,2,169
20.7,5,169
20.9,6,169
20.8,5,169
19.8,9,169
19.7,10,169
19.6,13,169
19.5,11,169
19.4,13,169
19.3,11,169
20.8,-10,172
20.9,-12,172
19.1,-10,172
19.9,-13,172
20.3,-13,172
20.2,-14,172
20.1,-14,172
20.0,-12,172
20.7,-10,172
20.6,-13,172
20.5,-13,172
20.4,-13,172
19.5,-11,172
19.8,-13,172
19.2,-11,172
19.6,-14,172
19.3,-12,172
19.7,-12,172
19.4,-11,172
19.6,102,173
20.6,105,173
19.5,100,173
20.5,106,173
19.7,102,173
20.4,105,173
20.7,107,173
20.9,107,173
20.8,108,173
19.2,101,173
19.3,99,173
19.4,101,173
19.1,99,173
20.0,102,173
20.3,104,173
20.2,104,173
20.1,103,173
19.8,101,173
19.9,101,173
20.8,57,175
19.2,59,175
19.3,58,175
20.7,57,175
20.6,59,175
20.5,57,175
20.3,59,175
20.4,57,175
20.2,60,175
19.4,57,175
20.9,58,175
20.1,62,175
19.9,60,175
19.8,58,175
19.7,60,175
19.6,57,175
19.5,58,175
19.1,56,175
20.0,61,175
20.5,33,176
20.3,33,176
20.4,33,176
20.0,30,176
20.1,32,176
19.9,30,176
20.2,32,176
20.6,34,176
20.9,34,176
20.8,33,176
20.7,33,176
19.8,29,176
19.3,30,176
19.2,30,176
19.1,31,176
19.4,30,176
19.7,30,176
19.6,31,176
19.5,30,176
20.2,101,180
19.7,96,180
19.6,97,180
19.8,97,180
20.3,103,180
19.5,95,180
20.9,117,180
20.8,116,180
20.7,108,180
20.6,113,180
20.5,107,180
20.4,107,180
19.1,94,180
20.1,101,180
20.0,99,180
19.9,101,180
19.3,93,180
19.4,93,180
19.2,91,180
19.9,24,182
20.8,24,182
20.7,24,182
20.6,25,182
20.5,24,182
20.4,24,182
20.3,24,182
19.1,24,182
19.2,24,182
20.0,23,182
20.1,24,182
20.2,23,182
19.8,24,182
19.4,24,182
19.5,25,182
19.3,24,182
19.6,24,182
19.7,23,182
20.9,24,182
19.6,-1,184
20.8,-2,184
20.7,-3,184
20.9,-2,184
19.9,0,184
20.2,0,184
19.8,-2,184
19.7,-2,184
20.6,-1,184
19.5,-3,184
19.1,-3,184
19.2,-2,184
19.4,-2,184
19.3,-3,184
20.4,-1,184
20.3,-1,184
20.0,1,184
20.1,0,184
20.5,-1,184
20.8,-10,185
20.9,-11,185
19.3,-1,185
19.2,-2,185
19.1,0,185
20.7,-7,185
20.6,-7,185
20.4,-6,185
20.5,-7,185
20.3,-7,185
19.4,-3,185
20.2,-4,185
20.1,-4,185
20.0,-5,185
19.9,-5,185
19.8,-7,185
19.7,-6,185
19.6,-7,185
19.5,-4,185
19.1,0,188
