averagenrmse,mean_CQ,median_CQ,std_CQ,var_CQ,amplitude_CQ,first_order_sensitivity_CQ,second_order_sensitivity_CQ,mean_MC,median_MC,std_MC,var_MC,amplitude_MC,first_order_sensitivity_MC,second_order_sensitivity_MC,mean_KR,median_KR,std_KR,var_KR,amplitude_KR,first_order_sensitivity_KR,second_order_sensitivity_KR,mean_GR,median_GR,std_GR,var_GR,amplitude_GR,first_order_sensitivity_GR,second_order_sensitivity_GR
1.081810388,50.21052632,50,2.166222698,4.692520776,9,0.350877193,0.020492407,3.058518261,3.048944707,0.027171066,0.000738267,0.093814505,-0.000769674,0.000366941,51.21052632,51,2.166222698,4.692520776,9,0.350877193,0.020492407,1,1,0,0,0,0,-2.18E-12
1.012632162,-21.78947368,-22,5.1358282,26.3767313,19,-0.070175439,0.108506561,0.83341765,0.890469736,0.567845701,0.32244874,1.813061929,-0.097662339,-0.001828951,51.05263158,53,8.44470363,71.31301939,29,1.452631579,-0.077841664,72.84210526,76,10.48940898,110.0277008,36,1.522807018,-0.186348224
0.984940533,84.52631579,85,2.478718282,6.144044321,9,0.407017544,-0.023146101,3.941957114,3.895209879,0.135262786,0.018296021,0.449027109,0.022727347,0.001628396,86.63157895,87,2.496534995,6.232686981,9,0.410526316,-0.022114109,2.105263158,2,0.306892205,0.094182825,1,0.003508772,0.001031992
0.995143824,-8.789473684,-9,1.640890239,2.692520776,5,0.270175439,0.007223942,2.579913156,2.613515198,0.242833571,0.058968143,0.889623612,-0.0060652,0.00332915,16.31578947,15,2.493204059,6.216066482,9,-0.403508772,0.037741412,25.10526316,25,3.82367606,14.62049861,13,-0.673684211,0.03051747
1.03776813,103.6842105,104,8.111412568,65.79501385,28,-1.447368421,-0.023809524,2.539538662,2.520642851,0.469956798,0.220859392,1.401939293,-0.085055677,-0.000621457,106.8421053,107,8.579431694,73.6066482,30,-1.531578947,-0.018796992,3.157894737,3,0.586080459,0.343490305,2,-0.084210526,0.005012531
1.13209329,30.89473684,31,0.967619806,0.936288089,4,0.026315789,-0.004938818,4.035672962,3.933771163,0.416690158,0.173630688,1.424013622,0.069371049,0.001469262,91.15789474,93,7.278397437,52.97506925,21,1.287719298,0.012089046,60.26315789,62,7.084765756,50.19390582,21,1.261403509,0.017027864
0.888338399,119.5263158,119,4.816292755,23.1966759,18,0.624561404,0.010909627,4.768342236,4.779881081,0.075060668,0.005634104,0.266024995,-0.005096889,-0.001576371,130.8947368,132,3.932251757,15.46260388,13,0.685964912,-0.030886039,11.36842105,11,3.390552297,11.49584488,12,0.061403509,-0.041795666
1.511746031,118.3684211,119,2.388801204,5.706371191,9,-0.226315789,-0.037077989,4.399525959,4.350525732,0.168206269,0.028293349,0.579876247,-0.025716215,0.00140651,125.7894737,126,1.541665107,2.376731302,5,-0.19122807,-0.012752469,7.421052632,7,1.726444154,2.980609418,6,0.035087719,0.02432552
1.350696292,-3.947368421,-3,3.284311739,10.7867036,13,-0.577192982,-0.005233672,2.97566377,2.960203604,0.592610166,0.351186808,1.914726824,-0.091972162,-0.004638471,42.84210526,42,4.880284266,23.81717452,18,-0.821052632,0.060740086,46.78947368,46,2.261321164,5.113573407,8,-0.243859649,0.065973758
2.181722123,58.42105263,58,1.566618533,2.454293629,6,0.00877193,-0.034424296,4.243643524,4.218637998,0.227363995,0.051694386,0.683882847,0.041224979,0.000414002,84.42105263,84,1.269719798,1.612188366,5,0.18245614,0.007076515,26,26,1.777046633,3.157894737,6,0.173684211,0.041500811
4.641591797,23.94736842,24,0.51028209,0.260387812,2,0.003508772,0.005749668,4.840398242,4.977913988,0.726359364,0.527597925,3.476056389,-0.057231849,-0.001073983,26.57894737,27,0.674013078,0.454293629,3,0.077192982,0.00058971,2.631578947,3,0.482376389,0.232686981,1,0.073684211,-0.005159959
0.949727431,1.157894737,1,1.308400305,1.711911357,5,0.035087719,-0.016806723,4.339542265,4.380921398,0.295336879,0.087223872,1.126872782,0.019601179,-0.007827985,55.52631579,58,5.154133967,26.56509695,17,-0.756140351,-0.111971104,54.36842105,56,5.162725987,26.65373961,16,-0.79122807,-0.095164382
1.228117071,0.842105263,1,2.978221969,8.869806094,11,-0.466666667,-0.020050125,4.87286303,4.898506556,0.168485945,0.028387514,0.573305893,0.02978314,0.00020844,28.68421053,29,3.961028994,15.68975069,13,-0.673684211,-0.004717677,27.84210526,27,1.348026155,1.817174515,4,-0.207017544,0.015332449
1.153712408,44.68421053,44,3.277557364,10.74238227,9,-0.533333333,0.031549462,5.444717156,5.510507157,0.123144403,0.015164544,0.339244703,0.020715154,-0.001379612,87.57894737,87,2.70118472,7.296398892,9,0.366666667,0.061845791,42.89473684,43,5.118539438,26.19944598,16,0.9,0.030296329
1.088637968,42.73684211,42,1.207088941,1.457063712,4,0.014035088,0.021082117,5.090417683,5.075235948,0.259649822,0.06741803,0.791271163,0.046778612,-0.000286444,71.94736842,71,3.051724003,9.313019391,11,0.533333333,0.019312988,29.21052632,29,2.948308121,8.692520776,9,0.519298246,-0.001769129
