"averagenrmse","mean_CQ","median_CQ","std_CQ","var_CQ","amplitude_CQ","first_order_sensitivity_CQ","second_order_sensitivity_CQ","mean_MC","median_MC","std_MC","var_MC","amplitude_MC","first_order_sensitivity_MC","second_order_sensitivity_MC"
4.641591797,23.94736842,24,0.51028209,0.260387812,2,0.003508772,0.005749668,4.840398242,4.977913988,0.726359364,0.527597925,3.476056389,-0.057231849,-0.001073983
0.949727431,1.157894737,1,1.308400305,1.711911357,5,0.035087719,-0.016806723,4.339542265,4.380921398,0.295336879,0.087223872,1.126872782,0.019601179,-0.007827985
3.661214949,1.842105263,2,1.386519987,1.922437673,6,-0.073684211,0.02093469,3.727239314,3.681729743,0.370665824,0.137393153,1.564289128,-0.052427028,0.002135334
0.909520817,139.0526316,139,1.731250969,2.997229917,7,0.149122807,0.022482677,3.348554,3.342325885,0.059168852,0.003500953,0.246104083,0.005093461,-8.17715E-4
1.118896801,93.84210526,94,5.173445944,26.76454294,17,0.912280702,0.013268465,3.405782429,3.442785517,0.119310378,0.014234966,0.398366682,0.0202215,-0.001411255
0.850886762,136.2105263,137,1.935239612,3.745152355,7,-0.224561404,-0.030370043,3.734095256,3.764010569,0.095880834,0.009193134,0.317781841,0.012405262,-0.00211575
1.296356076,40.26315789,40,1.249930746,1.56232687,5,0.019298246,0.002874834,5.116729983,5.13865476,0.134789124,0.018168108,0.410701808,0.02427543,-3.39418E-4
1.087618782,57.47368421,58,5.575967427,31.09141274,18,1.007017544,-0.005159959,3.857107597,3.911599964,0.158595104,0.025152407,0.702779057,-0.013746119,-0.002788229
0.950768805,18.63157895,20,5.841868179,34.12742382,18,-0.585964912,-0.168509508,3.475237271,3.504465285,0.443005714,0.196254063,1.41733699,-0.07929162,-9.63737E-4
0.871154464,116.8421053,117,2.978221969,8.869806094,9,0.489473684,0.007739938,3.796998375,3.811592238,0.063815657,0.004072438,0.200185933,-0.00158305,-0.002052642
0.95851136,2.157894737,2,2.230486326,4.975069252,8,0.264912281,-0.010541059,4.67203608,4.710593812,0.284426769,0.080898587,0.84270447,0.014567865,-0.008826952
0.905095118,110.3684211,110,1.84135323,3.390581717,7,0.261403509,0.022482677,4.152404102,4.135444591,0.093199252,0.008686101,0.326129876,-0.012029557,5.66068E-4
0.830255915,102.2105263,103,1.734448111,3.008310249,7,0.254385965,-0.021892968,5.170889909,5.106589123,0.165593275,0.027421133,0.549954658,-0.024998123,0.002396292
0.92066462,38.21052632,38,1.435598073,2.060941828,5,0.124561404,0.018207283,4.953608645,4.969617055,0.07609073,0.005789799,0.293551927,7.63692E-4,0.002336688
0.856286473,37.89473684,39,2.613622951,6.831024931,8,-0.389473684,-0.02771635,5.265177024,5.269197468,0.159264057,0.02536504,0.539570756,0.02695993,1.02578E-4
1.228117071,0.842105263,1,2.978221969,8.869806094,11,-0.466666667,-0.020050125,4.87286303,4.898506556,0.168485945,0.028387514,0.573305893,0.02978314,2.0844E-4
1.088637968,42.73684211,42,1.207088941,1.457063712,4,0.014035088,0.021082117,5.090417683,5.075235948,0.259649822,0.06741803,0.791271163,0.046778612,-2.86444E-4
0.996049345,3.263157895,3,4.821466312,23.2465374,16,-0.866666667,0.013268465,4.739216832,4.731808205,0.177069088,0.031353462,0.645112995,0.031778092,4.63434E-4
0.88494679,28.21052632,28,1.575434689,2.48199446,5,0.098245614,0.036267138,5.020009219,5.141310611,0.357198895,0.12759105,1.308401346,-0.0303398,-0.008836106
0.856286473,37.89473684,39,2.613622951,6.831024931,8,-0.389473684,-0.02771635,5.265205767,5.269197524,0.159313388,0.025380756,0.539571103,0.026968536,1.00159E-4
0.802191399,26.21052632,26,2.284477307,5.218836565,9,0.315789474,0.04127967,5.370660613,5.368166705,0.077423896,0.00599446,0.252941275,0.012779042,3.37725E-4
0.800559534,40.73684211,40,4.722199591,22.29916898,16,0.024561404,0.155093616,4.612884293,4.625208917,0.15828224,0.025053267,0.539155206,0.026878522,-3.6E-5
