number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gamma,attr_m0,attr_theta
27,COMPLETE,"[0.9200229188172608, 1.9388389140287094]",2026-01-06T21:32:33.274392,2026-01-06T21:36:33.176204,239.901812,0.0983365273828058,0.1543116659042973,0.004161968877641082,42.337281738865165,0.0983365273828058,0.004161968877641082,0.1543116659042973
28,COMPLETE,"[0.7130085161422076, 1.9372902561019822]",2026-01-06T21:36:33.186223,2026-01-06T21:40:29.224425,236.038202,0.09684854546867028,0.44637266737175557,0.001316326209350162,22.70866682469327,0.09684854546867028,0.001316326209350162,0.44637266737175557
29,COMPLETE,"[1.0410064525885463, 1.0981982095311111]",2026-01-06T21:40:29.235434,2026-01-06T21:44:28.657893,239.422459,0.2254755377440938,0.22573746040521417,0.006146376615313754,37.97947172764485,0.2254755377440938,0.006146376615313754,0.22573746040521417
30,COMPLETE,"[0.8524610794400942, 3.326457522647777]",2026-01-06T21:44:28.666900,2026-01-06T21:48:26.452571,237.785671,0.01196980539667708,0.313292618580063,0.00495033904454228,42.725219917328275,0.01196980539667708,0.00495033904454228,0.313292618580063
31,COMPLETE,"[1.0526266661666326, 1.1558690767973194]",2026-01-06T21:48:26.462579,2026-01-06T21:52:26.230639,239.76806,0.42923238714883494,0.17901416052767247,0.0011592882913337918,27.914077998061998,0.42923238714883494,0.0011592882913337918,0.17901416052767247
32,COMPLETE,"[0.7511295019362264, 1.525780988659211]",2026-01-06T21:52:26.239647,2026-01-06T21:56:23.602958,237.363311,0.06841371757702902,0.24939913076293313,0.0018399469117126605,29.575890369042774,0.06841371757702902,0.0018399469117126605,0.24939913076293313
33,COMPLETE,"[0.8886188776075337, 1.1785755466101513]",2026-01-06T21:56:23.612968,2026-01-06T22:00:22.156398,238.54343,0.11192114564157768,0.49782181510629453,0.0062949830288256394,32.04583497455442,0.11192114564157768,0.0062949830288256394,0.49782181510629453
34,COMPLETE,"[0.9214312538972957, 1.5030113605211455]",2026-01-06T22:00:22.166407,2026-01-06T22:04:20.496450,238.330043,0.07098216803565782,0.4476862079297582,0.005947787048028654,48.33913374733706,0.07098216803565782,0.005947787048028654,0.4476862079297582
35,COMPLETE,"[1.029418185987962, 1.0916466338194537]",2026-01-06T22:04:20.506458,2026-01-06T22:08:19.672515,239.166057,0.40748114900380017,0.30653954056730276,0.002027759194371483,24.227184364893976,0.40748114900380017,0.002027759194371483,0.30653954056730276
36,COMPLETE,"[1.0454700304253626, 1.317485820444078]",2026-01-06T22:08:19.682524,2026-01-06T22:12:16.035738,236.353214,0.2165246769698393,0.3469184375069098,0.0054774586070583395,42.84333913352231,0.2165246769698393,0.0054774586070583395,0.3469184375069098
37,COMPLETE,"[1.1572421840481941, 2.157940008717171]",2026-01-06T22:12:16.046748,2026-01-06T22:16:16.077887,240.031139,0.3900822585886738,0.45125559860121994,0.0023427456690990264,36.98177033067622,0.3900822585886738,0.0023427456690990264,0.45125559860121994
38,COMPLETE,"[0.6588166597965036, 3.8327338749037216]",2026-01-06T22:16:16.086895,2026-01-06T22:20:13.616898,237.530003,0.0630671506827451,0.31901646570807024,0.006320681396227948,32.926415011272425,0.0630671506827451,0.006320681396227948,0.31901646570807024
39,COMPLETE,"[1.0758628209552357, 1.1655198880561466]",2026-01-06T22:20:13.625905,2026-01-06T22:24:14.509828,240.883923,0.36984764183201285,0.5647565799715378,0.004255167750968267,25.250224886678616,0.36984764183201285,0.004255167750968267,0.5647565799715378
40,COMPLETE,"[0.6410828697885069, 1.7257365421562194]",2026-01-06T22:24:14.519836,2026-01-06T22:28:11.538763,237.018927,0.07469255489474097,0.2193953088812766,0.006773856972133418,30.308660845155636,0.07469255489474097,0.006773856972133418,0.2193953088812766
41,COMPLETE,"[1.0458117727849565, 2.3030896149119258]",2026-01-06T22:28:11.547771,2026-01-06T22:32:09.830710,238.282939,0.40524462022528474,0.1261370471692604,0.0040056928015067455,45.08813998809899,0.40524462022528474,0.0040056928015067455,0.1261370471692604
42,COMPLETE,"[1.0040331613645082, 3.1844842850744914]",2026-01-06T22:32:09.839719,2026-01-06T22:36:05.784634,235.944915,0.27004859569436773,0.10387959938605383,0.003860512876933809,47.532657871961284,0.27004859569436773,0.003860512876933809,0.10387959938605383
43,COMPLETE,"[1.046610691904759, 1.1740789176617135]",2026-01-06T22:36:05.794643,2026-01-06T22:40:07.448332,241.653689,0.4007552113142397,0.5775031047839656,0.004469785195638957,22.486799062309302,0.4007552113142397,0.004469785195638957,0.5775031047839656
44,COMPLETE,"[1.0568155198905482, 1.1024610923552458]",2026-01-06T22:40:07.459342,2026-01-06T22:44:04.455783,236.996441,0.23213693756522175,0.2169282190258714,0.005052933264849632,35.590667621984295,0.23213693756522175,0.005052933264849632,0.2169282190258714
45,COMPLETE,"[1.0100510843244992, 1.9310807186388104]",2026-01-06T22:44:04.465792,2026-01-06T22:48:02.540571,238.074779,0.47783667028431404,0.5511047096205068,0.0014667270797356154,33.99450545047814,0.47783667028431404,0.0014667270797356154,0.5511047096205068
46,COMPLETE,"[1.0170873001057972, 1.221165660464572]",2026-01-06T22:48:02.549578,2026-01-06T22:51:58.399478,235.8499,0.1528920430463387,0.4126921886070105,0.006669470441847818,42.53398511752807,0.1528920430463387,0.006669470441847818,0.4126921886070105
47,COMPLETE,"[1.0557449683260545, 1.6247763937090578]",2026-01-06T22:51:58.408486,2026-01-06T22:55:57.845656,239.43717,0.24920483185377146,0.1695796424156748,0.005895608856981328,49.363137170703666,0.24920483185377146,0.005895608856981328,0.1695796424156748
48,COMPLETE,"[1.068422737501834, 1.112898816403741]",2026-01-06T22:55:57.855663,2026-01-06T22:59:54.504328,236.648665,0.3164839336990961,0.20290871176587968,0.006800338973526369,30.246507715313186,0.3164839336990961,0.006800338973526369,0.20290871176587968
