number,values,param_gamma,param_theta,param_m0,param_beta_prime,attr_gamma,attr_m0,attr_theta
70,"[0.8890552559563869, 13.603494521111411]",0.1005663792951208,0.10565278749818,0.001339544427713,35.590667621984295,0.1005663792951208,0.001339544427713,0.10565278749818
234,"[0.8674665857641373, 5.169453712287969]",0.0746925548947409,0.0661968642837325,0.006205507972241,47.911470514930514,0.0746925548947409,0.006205507972241,0.0661968642837325
125,"[1.0080625742765277, 1.1425250459119507]",0.4806565124071959,0.1787555757637884,0.0045565255555399,42.75660952315083,0.4806565124071959,0.0045565255555399,0.1787555757637884
293,"[0.7361107108534615, 1.0013601725231633]",0.1119211456415776,0.087504192838699,0.0029130948581659,27.27676956041128,0.1119211456415776,0.0029130948581659,0.087504192838699
120,"[1.0065606932082927, 1.036312118288387]",0.4845834376838983,0.0619771060822108,0.0072939984397777,28.162552883539803,0.4845834376838983,0.0072939984397777,0.0619771060822108
34,"[0.9214312538972957, 1.5030113605211455]",0.0709821680356578,0.4476862079297582,0.0059477870480286,48.33913374733706,0.0709821680356578,0.0059477870480286,0.4476862079297582
161,"[0.8336211874161066, 0.8544523065572752]",0.068413717577029,0.0619771060822108,0.0033454983039011,28.162552883539803,0.068413717577029,0.0033454983039011,0.0619771060822108
106,"[1.0645806800166986, 1.1524730408090136]",0.2492048318537714,0.1946946356199168,0.0058956088569813,49.36313717070367,0.2492048318537714,0.0058956088569813,0.1946946356199168
299,"[1.004600457753929, 1.0386933219039383]",0.475502210230084,0.0572351742965083,0.0031882541081602,30.30866084515564,0.475502210230084,0.0031882541081602,0.0572351742965083
169,"[0.7337326532974233, 1.1294082224227882]",0.10410106383815,0.2493991307629331,0.0031882541081602,29.57589036904277,0.10410106383815,0.0031882541081602,0.2493991307629331
134,"[1.035030612430217, 1.2042115086434524]",0.162516612567773,0.4287934182714353,0.0058956088569813,40.11190853904452,0.162516612567773,0.0058956088569813,0.4287934182714353
146,"[0.8150950257588863, 1.0785083178476247]",0.0746925548947409,0.2193953088812766,0.0031882541081602,23.17693194994965,0.0746925548947409,0.0031882541081602,0.2193953088812766
211,"[0.855410371658957, 1.9198557101049352]",0.0746925548947409,0.0351534246215858,0.0065000549431676,30.412813505870005,0.0746925548947409,0.0065000549431676,0.0351534246215858
68,"[1.0469470654939512, 1.765147032539772]",0.2106189763305279,0.1543116659042973,0.004161968877641,31.51595656713642,0.2106189763305279,0.004161968877641,0.1543116659042973
209,"[1.0485783349097058, 1.0730329560185277]",0.3803442425792067,0.2796793444134399,0.00691791864196,21.32732994929924,0.3803442425792067,0.00691791864196,0.2796793444134399
292,"[1.034949247032103, 1.9720473678396158]",0.1350657174419792,0.161673021412376,0.0024625052141344,44.07783315148832,0.1350657174419792,0.0024625052141344,0.161673021412376
11,"[1.0782335173433901, 1.3148785199199327]",0.4012191525952417,0.142702580319825,0.0039011786154404,34.22920569461306,0.4012191525952417,0.0039011786154404,0.142702580319825
154,"[1.0116944740143399, 1.5229813280569486]",0.2136845303552741,0.0583118381156723,0.0072732858955437,26.76527282112587,0.2136845303552741,0.0072732858955437,0.0583118381156723
223,"[0.6446012160119968, 2.6442155489180874]",0.068413717577029,0.3190164657080702,0.0072732858955437,32.926415011272425,0.068413717577029,0.0072732858955437,0.3190164657080702
57,"[1.0382786526440657, 1.0641227247529041]",0.2096129470515928,0.4126921886070105,0.007569588538395,22.140053477838062,0.2096129470515928,0.007569588538395,0.4126921886070105
162,"[0.8286499503415877, 1.0375744262894697]",0.068413717577029,0.2493991307629331,0.0018040242602601,23.55122973149387,0.068413717577029,0.0018040242602601,0.2493991307629331
4,"[1.0454939543618031, 3.504208080352541]",0.4534324946373229,0.0858708036663678,0.0043264603500354,49.96753990137864,0.4534324946373229,0.0043264603500354,0.0858708036663678
76,"[0.9265319640152708, 1.1539048719161848]",0.162516612567773,0.4287934182714353,0.0031882541081602,23.17693194994965,0.162516612567773,0.0031882541081602,0.4287934182714353
29,"[1.0410064525885463, 1.0981982095311111]",0.2254755377440938,0.2257374604052141,0.0061463766153137,37.97947172764485,0.2254755377440938,0.0061463766153137,0.2257374604052141
16,"[1.055560722080207, 1.3308477902672309]",0.2575981405884366,0.4287934182714353,0.0049778102873016,33.39919036581141,0.2575981405884366,0.0049778102873016,0.4287934182714353
202,"[1.0630952962784623, 1.124222017639313]",0.4845834376838983,0.2193953088812766,0.0062949830288256,30.23377345918989,0.4845834376838983,0.0062949830288256,0.2193953088812766
218,"[1.1154196251359412, 1.9947630844621385]",0.4855483536083742,0.2493991307629331,0.0028952843402809,43.30396269731845,0.4855483536083742,0.0028952843402809,0.2493991307629331
271,"[0.8352285856804733, 1.0095012815363908]",0.0630671506827451,0.1946946356199168,0.0063206813962279,21.282343808700364,0.0630671506827451,0.0063206813962279,0.1946946356199168
263,"[0.6483165123149878, 2.943886873243997]",0.0746925548947409,0.5803261302754287,0.0067738569721334,30.35747744237237,0.0746925548947409,0.0067738569721334,0.5803261302754287
102,"[1.0132049945695263, 1.9483810356268876]",0.3221797939741202,0.0332445198020255,0.0063071955615432,48.98397201427164,0.3221797939741202,0.0063071955615432,0.0332445198020255
185,"[0.7361107108534615, 1.0013601725231633]",0.1119211456415776,0.087504192838699,0.0029130948581659,27.27676956041128,0.1119211456415776,0.0029130948581659,0.087504192838699
253,"[0.6286742389790015, 1.609387992092203]",0.068413717577029,0.1755456560749926,0.0071604139284962,36.23641330412556,0.068413717577029,0.0071604139284962,0.1755456560749926
159,"[1.0569561946882748, 1.2517256972101327]",0.3966005647329933,0.4476862079297582,0.0059477870480286,30.574012592306964,0.3966005647329933,0.0059477870480286,0.4476862079297582
205,"[0.6546167665556926, 1.4614044304739713]",0.1119211456415776,0.4277227439609704,0.0031882541081602,22.16703937749238,0.1119211456415776,0.0031882541081602,0.4277227439609704
122,"[1.030332627450538, 1.974638996416614]",0.4845834376838983,0.0619771060822108,0.0049503390445422,42.1190552862993,0.4845834376838983,0.0049503390445422,0.0619771060822108
170,"[1.0324421407141477, 1.0604007083651474]",0.3190186292789645,0.2493991307629331,0.0053808435067801,23.210450149935507,0.3190186292789645,0.0053808435067801,0.2493991307629331
148,"[0.6874381329039608, 1.1212934856404988]",0.0983365273828058,0.1543116659042973,0.0013163262093501,24.017268196603187,0.0983365273828058,0.0013163262093501,0.1543116659042973
157,"[1.0143284860470663, 1.0291043689770456]",0.4845834376838983,0.0619771060822108,0.0062949830288256,30.23377345918989,0.4845834376838983,0.0062949830288256,0.0619771060822108
219,"[0.8166771494177051, 0.8884908071513746]",0.0746925548947409,0.0619771060822108,0.0029659136309842,30.30866084515564,0.0746925548947409,0.0029659136309842,0.0619771060822108
215,"[0.8378890193589352, 0.8974853577262528]",0.0746925548947409,0.0351534246215858,0.0027460217194105,30.30866084515564,0.0746925548947409,0.0027460217194105,0.0351534246215858
31,"[1.0526266661666326, 1.1558690767973194]",0.4292323871488349,0.1790141605276724,0.0011592882913337,27.914077998062,0.4292323871488349,0.0011592882913337,0.1790141605276724
262,"[1.037546657084439, 2.010574008540935]",0.4085166283325602,0.1096622204700256,0.0029659136309842,28.162552883539803,0.4085166283325602,0.0029659136309842,0.1096622204700256
173,"[0.8362113937668573, 1.071602509138446]",0.068413717577029,0.0299570422130306,0.0072732858955437,25.511224268691848,0.068413717577029,0.0072732858955437,0.0299570422130306
81,"[1.0546386387659907, 1.9243537243105626]",0.4845834376838983,0.0619771060822108,0.0054715443171601,41.53919911825961,0.4845834376838983,0.0054715443171601,0.0619771060822108
64,"[1.105832870871987, 1.164671290156138]",0.4806565124071959,0.1790141605276724,0.0034483789603654,34.298845824141296,0.4806565124071959,0.0034483789603654,0.1790141605276724
175,"[1.0642943658493946, 1.1388644536326291]",0.1005663792951208,0.44501207582338,0.007589319108189,49.36313717070367,0.1005663792951208,0.007589319108189,0.44501207582338
15,"[1.0623397113018984, 1.1614079239814148]",0.2307362695916769,0.5563119837833669,0.0013784954865741,27.799520473416983,0.2307362695916769,0.0013784954865741,0.5563119837833669
0,"[1.0106321004873104, 2.230528989547788]",0.2516206378745789,0.5693672158341696,0.006538744542792,41.1659616487661,0.2516206378745789,0.006538744542792,0.5693672158341696
53,"[1.0115544197170014, 1.2008753875882163]",0.4845834376838983,0.0351534246215858,0.0054715443171601,28.162552883539803,0.4845834376838983,0.0054715443171601,0.0351534246215858
138,"[1.077380142301982, 1.3449200388016709]",0.3089219499949478,0.4287934182714353,0.0020417436146459,38.65679405248349,0.3089219499949478,0.0020417436146459,0.4287934182714353
132,"[0.6453333128391268, 2.84429724887684]",0.0746925548947409,0.4716691215236688,0.0067738569721334,30.30866084515564,0.0746925548947409,0.0067738569721334,0.4716691215236688
93,"[1.0575424016125836, 1.103039659940449]",0.3350879183063552,0.2029087117658796,0.0068003389735263,31.185035627100383,0.3350879183063552,0.0068003389735263,0.2029087117658796
231,"[0.5910215362905581, 3.449890250986825]",0.068413717577029,0.2493991307629331,0.0072732858955437,43.61661480203874,0.068413717577029,0.0072732858955437,0.2493991307629331
184,"[1.07482023087331, 1.1299399291444283]",0.4539081996090974,0.2089329017852585,0.0057774463755034,36.526383166561786,0.4539081996090974,0.0057774463755034,0.2089329017852585
181,"[0.7941300953424321, 5.6310425160307]",0.068413717577029,0.2493991307629331,0.0018399469117126,27.741847019665915,0.068413717577029,0.0018399469117126,0.2493991307629331
297,"[0.6348802476804091, 1.2500041523161638]",0.055475905068947,0.4770343384601584,0.0077564452774728,42.41511154241235,0.055475905068947,0.0077564452774728,0.4770343384601584
69,"[0.6643523368396459, 2.234648739384532]",0.068413717577029,0.2493991307629331,0.0072732858955437,29.57589036904277,0.068413717577029,0.0072732858955437,0.2493991307629331
249,"[0.6410336434319848, 1.477656166614607]",0.068413717577029,0.3274358266549459,0.0033454983039011,36.23641330412556,0.068413717577029,0.0033454983039011,0.3274358266549459
290,"[0.5942624765683786, 5.295759372516958]",0.068413717577029,0.2193953088812766,0.0072732858955437,42.41511154241235,0.068413717577029,0.0072732858955437,0.2193953088812766
19,"[1.0238438091413204, 1.3482324363628875]",0.3511718750660822,0.0540621177441105,0.0010529863089026,47.437179977596514,0.3511718750660822,0.0010529863089026,0.0540621177441105
160,"[0.9004638933870455, 1.6323268060671383]",0.0746925548947409,0.39465090334847,0.0031882541081602,43.61661480203874,0.0746925548947409,0.0031882541081602,0.39465090334847
264,"[0.8367592383397686, 1.484328312207678]",0.0283461700268411,0.3190164657080702,0.0072732858955437,35.41692364327686,0.0283461700268411,0.0072732858955437,0.3190164657080702
37,"[1.1572421840481941, 2.157940008717171]",0.3900822585886738,0.4512555986012199,0.002342745669099,36.98177033067622,0.3900822585886738,0.002342745669099,0.4512555986012199
216,"[0.6499874614340975, 2.2138131175192677]",0.1009778251648899,0.2693014032900072,0.0057774463755034,22.361871555347346,0.1009778251648899,0.0057774463755034,0.2693014032900072
82,"[1.0090960900273376, 1.2099091956035108]",0.162516612567773,0.3910986340222043,0.0025307360172838,42.18524400676358,0.162516612567773,0.0025307360172838,0.3910986340222043
267,"[0.6695332190581204, 1.7559965588706083]",0.10410106383815,0.2493991307629331,0.0031882541081602,21.41680834281114,0.10410106383815,0.0031882541081602,0.2493991307629331
294,"[0.7746835250937952, 8.87320841549655]",0.068413717577029,0.2476593826290784,0.0072732858955437,24.962097033296686,0.068413717577029,0.0072732858955437,0.2476593826290784
137,"[1.0588633725161953, 1.4984531876338099]",0.1005663792951208,0.3065395405673027,0.007589319108189,32.199046768753405,0.1005663792951208,0.007589319108189,0.3065395405673027
