number,values,param_gamma,param_theta,param_m0,param_n_instances,param_size_inst_0,param_weight_inst_0,param_size_inst_1,param_weight_inst_1,param_size_inst_2,param_weight_inst_2,param_size_inst_3,param_weight_inst_3,param_size_inst_4,param_weight_inst_4,param_size_inst_5,param_weight_inst_5,param_size_inst_6,param_weight_inst_6,attr_custom_sizes,attr_gamma,attr_m0,attr_n_instances,attr_theta,attr_weights
65,"[0.8449148161871837, 0.85700560390466]",0.063400363,0.151309064,0.003950256,3,24.05814451,0.818547352,26.13449542,0.79363102,38.27909734,0.84081113,,,,,,,,,"[24.058144508324965, 26.134495422247944, 38.27909733704653]",0.063400363,0.003950256,3,0.151309064,"[0.33369378514984976, 0.3235362482377373, 0.3427699666124128]"
67,"[0.8466490120726051, 0.8511273723020322]",0.063400363,0.151309064,0.003871057,3,24.05814451,0.708542232,26.13449542,0.110766194,36.56235522,0.685458652,,,,,,,,,"[24.058144508324965, 26.134495422247944, 36.56235522337148]",0.063400363,0.003871057,3,0.151309064,"[0.47086505424229985, 0.07361019228929781, 0.4555247534684023]"
71,"[0.8986668388937556, 0.9623535185598028]",0.135831068,0.590923124,0.004930962,4,30.96031104,0.68356569,33.7739004,0.457231466,29.6916111,0.39596499,27.94266181,0.948272441,,,,,,,"[30.96031103745054, 33.77390039620012, 29.691611100341305, 27.942661813550426]",0.135831068,0.004930962,4,0.590923124,"[0.2750729079990726, 0.18399400480542386, 0.15933983056221762, 0.3815932566332859]"
80,"[0.8771751056353719, 0.9516626913490103]",0.134606397,0.448899604,0.005473205,2,26.46022575,0.782733998,33.42444064,0.215851239,,,,,,,,,,,"[26.46022574720999, 33.424440635200455]",0.134606397,0.005473205,2,0.448899604,"[0.7838429495781418, 0.21615705042185823]"
82,"[0.6029206352126412, 4.128494528595996]",0.1452613,0.407450694,0.007519579,7,28.5191187,0.811968443,36.78079858,0.943459646,35.49441808,0.330936175,32.20703502,0.64454364,15.69588959,0.960298218,20.2060575,0.827945353,38.35425367,0.707833095,"[28.51911869871327, 36.780798575590715, 35.494418084100914, 32.207035019737006, 15.695889586256762, 20.206057500519066, 38.35425367399989]",0.1452613,0.007519579,7,0.407450694,"[0.15534165680052456, 0.18049788245770937, 0.06331301928507954, 0.1233107982722721, 0.1837193519387192, 0.1583982775564162, 0.13541901368927906]"
84,"[0.6936928541093192, 1.0985079520242234]",0.185635866,0.328621137,0.006793342,4,18.75189321,0.993140829,16.26160947,0.882734141,30.87630304,0.877998487,38.46441772,0.822582083,,,,,,,"[18.75189320620461, 16.261609474593964, 30.876303039843908, 38.46441771951776]",0.185635866,0.006793342,4,0.328621137,"[0.27768857135295566, 0.24681815038822738, 0.24549403087094954, 0.22999924738786734]"
89,"[0.5650332313577048, 1.1537124078793275]",0.138113559,0.258741778,0.007710047,5,20.02201099,0.73196788,34.91316431,0.359199125,36.06977957,0.008867023,28.70252611,0.206558529,28.44172484,0.611814736,,,,,"[20.022010988633276, 34.91316430667953, 36.069779572776895, 28.702526107148472, 28.44172483673517]",0.138113559,0.007710047,5,0.258741778,"[0.3815497794850731, 0.1872381983358108, 0.004622075100171398, 0.10767188499464372, 0.318918062084301]"
96,"[0.6030467716580038, 2.006642419548965]",0.148265166,0.369545047,0.007480729,4,37.96610483,0.875136199,24.30021738,0.449237525,27.33207997,0.948891222,17.69991436,0.977079922,,,,,,,"[37.96610483224712, 24.30021738324406, 27.33207997485813, 17.699914364726784]",0.148265166,0.007480729,4,0.369545047,"[0.2692441062034807, 0.1382122645766678, 0.291935551637049, 0.3006080775828025]"
105,"[0.8630927119611314, 0.9679755998272833]",0.030289273,0.061572582,0.004955641,6,31.52604366,0.543547788,36.78079858,0.943459646,18.26299141,0.283019149,34.77829201,0.162579066,18.36497353,0.537255982,27.51140544,0.296473053,,,"[31.52604366410388, 36.780798575590715, 18.26299141157471, 34.778292005508916, 18.364973529252936, 27.511405435093458]",0.030289273,0.004955641,6,0.061572582,"[0.1964866329248732, 0.34105043459974815, 0.10230835423967623, 0.058770570032863095, 0.19421221336457672, 0.10717179483826261]"
106,"[0.8523951118502762, 0.8553276306991217]",0.089171038,0.051611089,0.004708991,6,20.26750752,0.881878081,39.45484711,0.794768213,33.66666697,0.434948117,33.25902617,0.306034463,23.76368595,0.078089229,36.60826657,0.835569637,,,"[20.26750751937491, 39.45484711249573, 33.666666973092376, 33.2590261747671, 23.763685946334352, 36.60826656611323]",0.089171038,0.004708991,6,0.051611089,"[0.26472588082783133, 0.23857687337286357, 0.13056455956666171, 0.09186671541770042, 0.02344115393022033, 0.2508248168847226]"
