number,values,param_gamma,param_theta,param_m0,param_n_instances,param_size_inst_0,param_weight_inst_0,param_size_inst_1,param_weight_inst_1,param_size_inst_2,param_weight_inst_2,param_size_inst_3,param_weight_inst_3,param_size_inst_4,param_weight_inst_4,param_size_inst_5,param_weight_inst_5,param_size_inst_6,param_weight_inst_6,attr_custom_sizes,attr_gamma,attr_m0,attr_n_instances,attr_theta,attr_weights
223,"[0.839488094755128, 0.8468164494202808]",0.0740142445520366,0.4203817455773031,0.0024638346001228,4,25.654687856651734,0.7319678796294062,27.422296144283976,0.3591991252267396,27.83858530223073,0.1779412970014517,23.339692294864168,0.4553966831689163,,,,,,,"[25.654687856651734, 27.422296144283976, 27.83858530223073, 23.339692294864168]",0.0740142445520366,0.0024638346001228,4,0.4203817455773031,"[0.4244510082515954, 0.2082911492547625, 0.10318398528648844, 0.2640738572071537]"
256,"[1.1807331908432763, 1.577653088665331]",0.4869246764384443,0.3901903593266069,0.0024976416102081,4,37.235332370708505,0.2861626380497086,33.77390039620012,0.1728592451873917,23.22735188837931,0.6579023998447446,17.289592682925775,0.4728518999482758,,,,,,,"[37.235332370708505, 33.77390039620012, 23.22735188837931, 17.289592682925775]",0.4869246764384443,0.0024976416102081,4,0.3901903593266069,"[0.18000183994723162, 0.10873181208308277, 0.41383334765449786, 0.29743300031518766]"
277,"[0.8515505664602413, 0.8650563628068799]",0.089171037737171,0.1388739700658176,0.0075195788676977,4,20.26750751937491,0.7471033406409625,36.78079857559072,0.3668580804179494,24.75211088077393,0.998314325822647,36.44190393531285,0.5290466444462257,,,,,,,"[20.26750751937491, 36.780798575590715, 24.752110880773934, 36.44190393531285]",0.089171037737171,0.0075195788676977,4,0.1388739700658176,"[0.28285200742397676, 0.13889182237747624, 0.3779600434617137, 0.20029612673683336]"
59,"[1.0013403306672504, 1.0595409815214607]",0.23318822480122,0.2135207184453356,0.0055568583478835,4,16.25862189435523,0.6533236476740382,27.736473623180498,0.2686069797671305,16.498626814439348,0.6932701094547099,25.246804404682432,0.6213521555295825,,,,,,,"[16.25862189435523, 27.736473623180498, 16.498626814439348, 25.246804404682432]",0.23318822480122,0.0055568583478835,4,0.2135207184453356,"[0.2921118699614263, 0.12009864853937612, 0.3099725974747163, 0.27781688402448124]"
64,"[1.000789471078156, 1.320471665121958]",0.4875199509758149,0.5144527307082151,0.0074969294187439,7,33.29336697119116,0.123481349977966,19.70333578925802,0.5715648565038135,22.892984436096235,0.8123946631564046,25.53938663378613,0.8742310771964333,25.819560922271904,0.7864682221698629,37.065875453908006,0.2412068504410848,17.17264846964249,0.7088224833375486,"[33.29336697119116, 19.70333578925802, 22.892984436096235, 25.539386633786126, 25.819560922271904, 37.065875453908006, 17.17264846964249]",0.4875199509758149,0.0074969294187439,7,0.5144527307082151,"[0.02998452343802645, 0.1387909983106675, 0.19727081719375017, 0.2122863268754762, 0.19097519459516107, 0.058571375043711536, 0.1721207645432071]"
202,"[0.8511559817671923, 0.9343665802964257]",0.1358310684224608,0.1561556402390412,0.003950255659112,4,30.96031103745054,0.5913878189704069,26.134495422247944,0.7936310203692672,23.10166739799317,0.8057889011531278,25.41001450240168,0.815420385913459,,,,,,,"[30.96031103745054, 26.134495422247944, 23.101667397993175, 25.410014502401676]",0.1358310684224608,0.003950255659112,4,0.1561556402390412,"[0.19672087217059284, 0.26399560745178663, 0.2680398383859155, 0.271243681991705]"
23,"[1.0094760241167002, 1.014968865749248]",0.2415212752895322,0.3286211366402897,0.0067933423441924,3,35.14418490738089,0.2710802325981817,29.768388793969045,0.2661806824468481,37.65302848791051,0.1682923785157906,,,,,,,,,"[35.14418490738089, 29.768388793969045, 37.65302848791051]",0.2415212752895322,0.0067933423441924,3,0.3286211366402897,"[0.3842094354489948, 0.3772651688768606, 0.2385253956741446]"
193,"[0.8049873630723503, 2.4474250344320225]",0.097634765115308,0.581098740746735,0.0054732049043005,4,20.031165473431724,0.0905841185999603,33.77390039620012,0.329740637300868,30.96209411420179,0.3942144121290796,27.91648856802413,0.0377255457447696,,,,,,,"[20.031165473431724, 33.77390039620012, 30.96209411420179, 27.91648856802413]",0.097634765115308,0.0054732049043005,4,0.581098740746735,"[0.10628636518196741, 0.3868993189222253, 0.4625492593528897, 0.044265056542917625]"
128,"[0.839870399160351, 0.9697787300108244]",0.097634765115308,0.1513090644531172,0.0040295314613397,3,36.26982692757764,0.8185473517785218,33.436188408117104,0.7936310203692672,17.45070625066848,0.945811383005562,,,,,,,,,"[36.26982692757764, 33.436188408117104, 17.45070625066848]",0.097634765115308,0.0040295314613397,3,0.1513090644531172,"[0.3199963370179526, 0.3102557462438661, 0.3697479167381813]"
4,"[1.017794328608269, 1.0213280070453759]",0.2223408694973385,0.5538241562925887,0.003652478546364,2,34.188069423292575,0.1534457534743537,37.01382373046046,0.1879706956200639,,,,,,,,,,,"[34.188069423292575, 37.01382373046046]",0.2223408694973385,0.003652478546364,2,0.5538241562925887,"[0.4494386661256581, 0.5505613338743419]"
2,"[0.8513945168390432, 0.8540927606380886]",0.0634003632949281,0.1513090644531172,0.003950255659112,3,24.058144508324965,0.8185473517785218,26.134495422247944,0.7936310203692672,35.84095299999919,0.6243112276772984,,,,,,,,,"[24.058144508324965, 26.134495422247944, 35.84095299999919]",0.0634003632949281,0.003950255659112,3,0.1513090644531172,"[0.3659964937205785, 0.35485567222460407, 0.27914783405481736]"
166,"[0.8801702007678889, 0.8916774501212085]",0.0302892733551033,0.4085871336309261,0.0024638346001228,7,29.19250929258306,0.8119684429977457,15.749015197915853,0.329740637300868,36.50214453884328,0.2492216753141649,32.86860548821073,0.025942710667402,28.81148436313414,0.034994623250241,30.30475087337357,0.9905802648503204,31.38133688189168,0.4311098196583718,"[29.19250929258306, 15.749015197915853, 36.50214453884328, 32.86860548821073, 28.81148436313414, 30.304750873373575, 31.381336881891677]",0.0302892733551033,0.0024638346001228,7,0.4085871336309261,"[0.2825655141884361, 0.11474994321669846, 0.08672929525691678, 0.009028079160456535, 0.012178150269027655, 0.34472253730570795, 0.1500264806027566]"
257,"[0.868644914912136, 0.8747024564321583]",0.0423501531631053,0.4027657286478889,0.0029597212681666,7,29.06722829684021,0.6835656904493121,32.864351851410234,0.7654539118549379,37.61773476433778,0.0934301764759639,31.06664845040841,0.9097191290661444,16.354934221975743,0.8624391473397042,22.82399285265297,0.403288301319862,22.410241589812664,0.025370042244461,"[29.06722829684021, 32.864351851410234, 37.61773476433778, 31.06664845040841, 16.354934221975743, 22.82399285265297, 22.410241589812664]",0.0423501531631053,0.0029597212681666,7,0.4027657286478889,"[0.1826120873143057, 0.2044882277442154, 0.024959531736013698, 0.24302815566902633, 0.23039748056072423, 0.10773700248918744, 0.006777514486527147]"
43,"[1.011526710547605, 1.0174112006525344]",0.2500614738302293,0.1475640123718425,0.0057601856498439,4,36.91152959750176,0.7579024112753905,36.77119226155107,0.351003683219204,36.21240611008115,0.999117916922748,35.377203915779035,0.9189008876711684,,,,,,,"[36.911529597501755, 36.77119226155107, 36.21240611008115, 35.377203915779035]",0.2500614738302293,0.0057601856498439,4,0.1475640123718425,"[0.2503869228812434, 0.11596048627598946, 0.33007687677471265, 0.30357571406805445]"
31,"[0.7044907209129067, 0.7574117625147241]",0.138113559003252,0.2587417778353379,0.0014039451797857,5,20.02201098863328,0.7319678796294062,34.91316430667953,0.3591991252267396,21.51203090560264,0.9200594962488862,26.91485585870693,0.0884380768236396,22.847383645097555,0.5977520508116738,,,,,"[20.022010988633276, 34.91316430667953, 21.512030905602636, 26.914855858706932, 22.847383645097555]",0.138113559003252,0.0014039451797857,5,0.2587417778353379,"[0.27135885195874415, 0.13316412503710276, 0.3410891318922953, 0.032786213253582185, 0.2216016778582756]"
26,"[1.0138177639877675, 1.0261828277373386]",0.3453304854688031,0.5437941730474816,0.0016225919286403,5,19.562478968786884,0.0173442560136528,26.326482466917835,0.042463618794705,24.51080687322316,0.1649197740874277,37.85895129073593,0.6173011609854755,36.12184595210649,0.7950725875085748,,,,,"[19.562478968786884, 26.326482466917835, 24.510806873223157, 37.85895129073593, 36.12184595210649]",0.3453304854688031,0.0016225919286403,5,0.5437941730474816,"[0.01059449099567456, 0.025938294880456556, 0.10073888786019776, 0.3770695950597128, 0.48565873120395825]"
